ID;work_year;experience_level;employment_type;job_title;salary;salary_currency;salary_in_usd;remote_ratio
42;2022;MI;FT;Machine Learning Engineer;1650000;INR;20984;50
43;2023;EN;FT;Applied Scientist;204620;USD;204620;0
44;2023;EN;FT;Applied Scientist;110680;USD;110680;0
45;2023;SE;FT;Data Engineer;270703;USD;270703;0
46;2023;SE;FT;Data Engineer;221484;USD;221484;0
47;2023;SE;FT;Data Scientist;212750;USD;212750;100
48;2023;SE;FT;Data Scientist;185000;USD;185000;100
49;2023;SE;FT;Data Scientist;262000;USD;262000;100
50;2023;SE;FT;Data Scientist;245000;USD;245000;100
51;2023;SE;FT;Data Scientist;275300;USD;275300;100
52;2023;SE;FT;Data Scientist;183500;USD;183500;100
53;2023;SE;FT;Data Scientist;218500;USD;218500;100
54;2023;SE;FT;Data Scientist;199098;USD;199098;100
55;2023;SE;FT;Data Engineer;203300;USD;203300;100
56;2023;SE;FT;Data Engineer;123600;USD;123600;100
57;2023;SE;FT;Research Engineer;189110;USD;189110;0
58;2023;SE;FT;Research Engineer;139000;USD;139000;0
59;2023;EX;FT;Data Scientist;258750;USD;258750;0
60;2023;EX;FT;Data Scientist;185000;USD;185000;0
61;2023;SE;FT;Data Engineer;231500;USD;231500;100
62;2023;SE;FT;Data Engineer;166000;USD;166000;100
63;2023;SE;FT;Data Scientist;172500;USD;172500;100
64;2023;SE;FT;Data Scientist;110500;USD;110500;100
65;2023;SE;FT;Data Engineer;238000;USD;238000;0
66;2023;SE;FT;Data Engineer;176000;USD;176000;0
67;2023;SE;FT;Data Engineer;237000;USD;237000;100
68;2023;SE;FT;Data Engineer;201450;USD;201450;100
69;2023;SE;FT;Applied Scientist;309400;USD;309400;0
70;2023;SE;FT;Applied Scientist;159100;USD;159100;0
71;2023;SE;FT;Data Engineer;115000;USD;115000;0
72;2023;SE;FT;Data Engineer;81500;USD;81500;0
73;2023;SE;FT;Data Scientist;237000;USD;237000;100
74;2023;SE;FT;Data Scientist;201450;USD;201450;100
75;2023;SE;FT;Computer Vision Engineer;280000;USD;280000;0
76;2023;SE;FT;Computer Vision Engineer;210000;USD;210000;0
77;2023;SE;FT;Data Architect;280100;USD;280100;100
78;2023;SE;FT;Data Architect;168100;USD;168100;100
79;2023;SE;FT;Data Engineer;193500;USD;193500;100
80;2023;SE;FT;Data Engineer;139000;USD;139000;100
81;2023;MI;FT;Data Scientist;510000;HKD;65062;0
82;2023;SE;FT;Machine Learning Engineer;150000;USD;150000;100
83;2023;MI;FT;Applied Machine Learning Engineer;65000;EUR;69751;100
84;2022;EN;FT;AI Developer;300000;USD;300000;50
85;2023;MI;FT;Machine Learning Engineer;90000;EUR;96578;100
86;2023;SE;FT;Business Intelligence Engineer;185900;USD;185900;0
87;2023;SE;FT;Business Intelligence Engineer;129300;USD;129300;0
88;2023;SE;FT;Data Engineer;225000;USD;225000;100
89;2023;SE;FT;Data Engineer;175000;USD;175000;100
90;2023;SE;FT;Data Engineer;185000;USD;185000;0
91;2023;SE;FT;Data Engineer;140000;USD;140000;0
92;2023;SE;FT;Data Scientist;45000;EUR;48289;0
93;2023;SE;FT;Data Scientist;36000;EUR;38631;0
94;2023;SE;FT;Data Scientist;105000;USD;105000;0
95;2023;SE;FT;Data Scientist;70000;USD;70000;0
96;2023;EN;FT;Machine Learning Engineer;163196;USD;163196;0
97;2023;EN;FT;Machine Learning Engineer;145885;USD;145885;0
98;2023;SE;FT;Data Engineer;217000;USD;217000;100
99;2023;SE;FT;Data Engineer;185000;USD;185000;100
100;2023;SE;FT;Data Analyst;202800;USD;202800;0
101;2023;SE;FT;Data Analyst;104300;USD;104300;0
102;2023;SE;FT;Data Analyst;145000;USD;145000;0
103;2023;SE;FT;Data Analyst;65000;USD;65000;0
104;2023;SE;FT;Data Engineer;165000;USD;165000;0
105;2023;SE;FT;Data Engineer;132300;USD;132300;0
106;2023;SE;FT;Data Engineer;179170;USD;179170;0
107;2023;SE;FT;Data Engineer;94300;USD;94300;0
108;2023;SE;FT;Analytics Engineer;152500;USD;152500;0
109;2023;SE;FT;Analytics Engineer;116450;USD;116450;0
110;2023;SE;FT;Data Engineer;247300;USD;247300;0
111;2023;SE;FT;Data Engineer;133800;USD;133800;0
112;2023;SE;FT;Research Engineer;203000;USD;203000;0
113;2023;SE;FT;Research Engineer;133000;USD;133000;0
114;2023;EN;FT;Research Scientist;220000;USD;220000;50
115;2022;EN;FT;Machine Learning Engineer;54000;CHF;56536;100
116;2023;SE;FT;Data Scientist;120000;USD;120000;0
117;2023;SE;FT;Analytics Engineer;289800;USD;289800;0
118;2023;SE;FT;Analytics Engineer;214000;USD;214000;0
119;2023;SE;FT;Analytics Engineer;179820;USD;179820;0
120;2023;SE;FT;Analytics Engineer;143860;USD;143860;0
121;2023;SE;FT;Machine Learning Engineer;283200;USD;283200;100
122;2023;SE;FT;Machine Learning Engineer;188800;USD;188800;100
123;2023;SE;FT;Analytics Engineer;214200;USD;214200;0
124;2023;SE;FT;Data Engineer;185900;USD;185900;0
125;2023;SE;FT;Data Engineer;129300;USD;129300;0
126;2023;SE;FT;Data Engineer;252000;USD;252000;0
127;2023;SE;FT;Data Engineer;129000;USD;129000;0
128;2023;MI;FT;Data Analytics Manager;155000;USD;155000;0
129;2023;MI;FT;Data Analytics Manager;140000;USD;140000;0
130;2023;SE;FT;Data Engineer;161800;USD;161800;100
131;2023;SE;FT;Data Engineer;141600;USD;141600;100
132;2023;SE;FT;Machine Learning Engineer;342300;USD;342300;0
133;2023;SE;FT;Machine Learning Engineer;176100;USD;176100;0
134;2023;MI;FT;Data Engineer;100000;USD;100000;100
135;2023;MI;FT;Data Engineer;70000;USD;70000;100
136;2023;EN;FT;Data Engineer;85000;USD;85000;0
137;2023;EN;FT;Data Engineer;65000;USD;65000;0
138;2023;SE;FT;Data Scientist;138784;USD;138784;100
139;2023;SE;FT;Data Scientist;83270;USD;83270;100
140;2023;EN;FT;Data Analyst;75000;USD;75000;0
141;2023;EN;FT;Data Analyst;70000;USD;70000;0
142;2023;SE;FT;Data Analyst;204500;USD;204500;0
143;2023;SE;FT;Data Analyst;138900;USD;138900;0
144;2023;SE;FT;Machine Learning Engineer;318300;USD;318300;100
145;2023;SE;FT;Machine Learning Engineer;212200;USD;212200;100
146;2023;SE;FT;Data Engineer;95000;USD;95000;100
147;2023;SE;FT;Data Engineer;75000;USD;75000;100
148;2023;SE;FT;Data Scientist;195000;USD;195000;0
149;2023;SE;FT;Data Scientist;160000;USD;160000;0
150;2023;SE;FT;Analytics Engineer;230000;USD;230000;0
151;2023;SE;FT;Analytics Engineer;143200;USD;143200;0
152;2023;MI;FT;Business Data Analyst;105000;USD;105000;50
153;2023;MI;FT;Applied Data Scientist;1700000;INR;20670;100
154;2023;MI;FT;Data Analyst;38000;GBP;46178;0
155;2023;MI;FT;Data Analyst;35000;GBP;42533;0
156;2023;SE;FT;Data Engineer;145000;USD;145000;0
157;2023;SE;FT;Data Analyst;168400;USD;168400;0
158;2023;SE;FT;Data Analyst;105200;USD;105200;0
159;2023;SE;FT;Machine Learning Engineer;190000;USD;190000;0
160;2023;SE;FT;Machine Learning Engineer;150000;USD;150000;0
161;2023;SE;FT;Analytics Engineer;150000;USD;150000;100
162;2023;SE;FT;Analytics Engineer;120000;USD;120000;100
163;2023;SE;FT;Data Engineer;120000;USD;120000;0
164;2023;SE;FT;Data Analyst;45000;GBP;54685;100
165;2023;SE;FT;Data Analyst;35000;GBP;42533;100
166;2023;SE;FT;Data Engineer;241000;USD;241000;0
167;2023;SE;FT;Data Engineer;155000;USD;155000;0
168;2023;SE;FT;Data Engineer;220000;USD;220000;100
169;2023;SE;FT;Data Engineer;190000;USD;190000;100
170;2023;MI;FT;Data Scientist;55000;GBP;66837;0
171;2023;MI;FT;Data Scientist;45000;GBP;54685;0
172;2020;EX;FT;Staff Data Analyst;15000;USD;15000;0
173;2023;MI;FT;ETL Engineer;70000;GBP;85066;100
174;2023;MI;FT;ETL Engineer;47500;GBP;57723;100
175;2023;EN;FT;Data Analyst;85000;USD;85000;100
176;2023;EN;FT;Data Analyst;75000;USD;75000;100
177;2023;SE;FT;Data Engineer;160000;USD;160000;0
178;2023;MI;FT;Machine Learning Engineer;300000;USD;300000;0
179;2023;MI;FT;Machine Learning Engineer;250000;USD;250000;0
180;2023;SE;FT;Data Scientist;228000;USD;228000;0
181;2023;SE;FT;Data Scientist;186000;USD;186000;0
182;2023;SE;FT;Data Scientist;190000;USD;190000;0
183;2023;MI;FT;Research Engineer;230000;USD;230000;0
184;2023;MI;FT;Research Engineer;200000;USD;200000;0
185;2023;SE;FT;Data Architect;180000;USD;180000;100
186;2023;SE;FT;Data Architect;115000;USD;115000;100
187;2023;SE;FT;Data Architect;200000;USD;200000;100
188;2023;SE;FT;Data DevOps Engineer;50000;EUR;53654;50
189;2023;EX;FT;Data Engineer;220000;USD;220000;0
190;2023;EX;FT;Data Engineer;205000;USD;205000;0
191;2023;MI;FT;Data Engineer;180000;USD;180000;0
192;2023;SE;FT;Data Engineer;200000;USD;200000;100
193;2023;SE;FT;Data Engineer;150000;USD;150000;100
194;2023;SE;FT;Computer Vision Engineer;215000;USD;215000;0
195;2023;SE;FT;Computer Vision Engineer;170000;USD;170000;0
196;2023;SE;FT;Machine Learning Engineer;247500;USD;247500;0
197;2023;SE;FT;Machine Learning Engineer;172200;USD;172200;0
198;2023;SE;FT;Data Scientist;224000;USD;224000;0
199;2023;SE;FT;Data Scientist;176000;USD;176000;0
200;2023;SE;FT;Data Analyst;120000;USD;120000;100
201;2023;SE;FT;Data Analyst;75000;USD;75000;100
202;2023;EN;FT;Data Engineer;1400000;INR;17022;100
203;2023;SE;FT;Applied Data Scientist;100000;AUD;68318;100
204;2023;MI;FT;AI Developer;100000;SGD;75020;0
205;2023;SE;FT;Data Analyst;140000;USD;140000;0
206;2023;SE;FT;Data Analyst;120000;USD;120000;0
207;2023;SE;FT;Data Engineer;128000;USD;128000;0
208;2023;EX;FT;Head of Data;329500;USD;329500;0
209;2023;EX;FT;Head of Data;269600;USD;269600;0
210;2023;SE;FT;Data Quality Analyst;100000;USD;100000;0
211;2023;SE;FT;Data Quality Analyst;80000;USD;80000;0
212;2023;SE;FT;Data Scientist;250000;USD;250000;0
213;2023;SE;FT;Data Scientist;162500;USD;162500;0
214;2023;MI;FT;AI Developer;200000;USD;200000;100
215;2023;SE;FT;Data Engineer;100000;USD;100000;0
216;2023;EX;FT;Data Engineer;145000;USD;145000;0
217;2023;EX;FT;Data Engineer;115000;USD;115000;0
218;2023;SE;FT;Data Scientist;203500;USD;203500;0
219;2023;SE;FT;Data Scientist;152000;USD;152000;0
220;2023;SE;FT;Data Scientist;239000;USD;239000;0
221;2023;SE;FT;Data Scientist;122900;USD;122900;0
222;2023;SE;FT;Data Scientist;237000;USD;237000;0
223;2023;SE;FT;Data Scientist;145000;USD;145000;0
224;2023;SE;FT;Data Science Manager;191765;USD;191765;0
225;2023;SE;FT;Data Science Manager;134236;USD;134236;0
226;2023;SE;FT;Analytics Engineer;190000;USD;190000;100
227;2023;SE;FT;Analytics Engineer;112000;USD;112000;100
228;2022;SE;FT;Data Scientist;84000;EUR;88256;100
229;2023;SE;FT;Data Analyst;135000;USD;135000;0
230;2023;SE;FT;Data Analyst;105500;USD;105500;0
231;2023;SE;FT;Research Engineer;293000;USD;293000;0
232;2023;SE;FT;Research Engineer;185000;USD;185000;0
233;2023;SE;FT;Data Analyst;80000;USD;80000;0
234;2023;SE;FT;Data Analyst;70000;USD;70000;0
235;2023;SE;FT;Data Engineer;160000;USD;160000;100
236;2023;SE;FT;Data Scientist;145000;USD;145000;100
237;2023;SE;FT;Data Analyst;200000;USD;200000;0
238;2023;SE;FT;Data Analyst;148500;USD;148500;0
239;2023;SE;FT;Data Engineer;240500;USD;240500;0
240;2023;SE;FT;Data Engineer;123700;USD;123700;0
241;2023;SE;FT;Analytics Engineer;152900;USD;152900;100
242;2023;SE;FT;Analytics Engineer;117100;USD;117100;100
243;2023;SE;FT;Analytics Engineer;173000;USD;173000;100
244;2023;SE;FT;Analytics Engineer;113000;USD;113000;100
245;2023;SE;FT;Applied Scientist;260000;USD;260000;0
246;2023;EX;FT;Data Engineer;175000;USD;175000;0
247;2023;EX;FT;Data Engineer;110000;USD;110000;0
248;2023;SE;FT;Research Scientist;130000;USD;130000;100
249;2023;SE;FT;Research Scientist;110000;USD;110000;100
250;2023;SE;FT;Applied Scientist;205000;USD;205000;100
251;2023;SE;FT;Applied Scientist;184000;USD;184000;100
252;2023;SE;FT;Data Analyst;149500;USD;149500;100
253;2023;SE;FT;Data Analyst;127075;USD;127075;100
254;2023;SE;FT;Data Engineer;219535;USD;219535;100
255;2023;SE;FT;Data Engineer;146115;USD;146115;100
256;2023;SE;FT;Data Scientist;135000;USD;135000;0
257;2023;SE;FT;Data Scientist;199000;USD;199000;0
258;2023;SE;FT;Data Scientist;162000;USD;162000;0
259;2023;EX;FT;Analytics Engineer;221000;USD;221000;100
260;2023;EX;FT;Analytics Engineer;153000;USD;153000;100
261;2023;SE;FT;Data Analyst;187000;USD;187000;0
262;2023;SE;FT;Data Analyst;128000;USD;128000;0
263;2023;SE;FT;Research Scientist;210000;USD;210000;0
264;2023;SE;FT;Research Scientist;136000;USD;136000;0
265;2023;SE;FT;Data Scientist;100000;USD;100000;100
266;2023;SE;FT;Data Engineer;179000;USD;179000;0
267;2023;SE;FT;Data Engineer;109000;USD;109000;0
268;2023;SE;FT;Data Scientist;245000;USD;245000;0
269;2023;SE;FT;Data Scientist;180000;USD;180000;0
270;2023;SE;FT;Data Analyst;142000;USD;142000;100
271;2023;SE;FT;Data Manager;198800;USD;198800;0
272;2023;SE;FT;Data Manager;105200;USD;105200;0
273;2023;SE;FT;Data Analyst;125000;USD;125000;100
274;2023;SE;FT;Data Analyst;112000;USD;112000;100
275;2023;SE;FT;Data Scientist;210000;USD;210000;0
276;2023;SE;FT;Data Scientist;155000;USD;155000;0
277;2023;SE;FT;Data Manager;115000;USD;115000;100
278;2023;SE;FT;Data Manager;86000;USD;86000;100
279;2023;SE;FT;Data Scientist;165000;USD;165000;0
280;2023;SE;FT;Data Scientist;140000;USD;140000;0
281;2023;SE;FT;Data Analyst;139000;USD;139000;0
282;2023;SE;FT;Data Analyst;106000;USD;106000;0
283;2023;EN;FT;Data Analyst;55000;CAD;40663;0
284;2022;SE;FT;AI Developer;275000;USD;275000;0
285;2023;SE;FL;Machine Learning Researcher;50000;USD;50000;50
286;2023;MI;FT;Machine Learning Engineer;280700;USD;280700;100
287;2023;MI;FT;Machine Learning Engineer;150450;USD;150450;100
288;2023;EN;FT;Data Scientist;70000;CAD;51753;100
289;2023;SE;FT;Data Architect;250500;USD;250500;0
290;2023;SE;FT;Data Architect;159500;USD;159500;0
291;2023;EN;FT;Data Scientist;130001;USD;130001;100
292;2023;EN;FT;Data Scientist;71907;USD;71907;100
293;2023;MI;FT;Data Scientist;93918;USD;93918;100
294;2023;MI;FT;Data Scientist;51962;USD;51962;100
295;2023;SE;FT;Data Analyst;175000;USD;175000;100
296;2023;SE;FT;Data Analyst;135000;USD;135000;100
297;2023;SE;FT;Machine Learning Engineer;257000;USD;257000;0
298;2023;SE;FT;Machine Learning Engineer;147000;USD;147000;0
299;2023;SE;FT;Data Engineer;222000;USD;222000;100
300;2023;SE;FT;Data Scientist;203000;USD;203000;100
301;2023;SE;FT;Data Scientist;133200;USD;133200;100
302;2023;SE;FT;Data Engineer;221000;USD;221000;0
303;2023;SE;FT;Data Engineer;147000;USD;147000;0
304;2023;SE;FT;Data Scientist;185900;USD;185900;0
305;2023;SE;FT;Data Scientist;129300;USD;129300;0
306;2023;SE;FT;Data Scientist;238000;USD;238000;100
307;2023;SE;FT;Data Scientist;156000;USD;156000;100
308;2023;SE;FT;Machine Learning Engineer;304000;USD;304000;100
309;2023;SE;FT;Machine Learning Engineer;199000;USD;199000;100
310;2023;MI;FT;Big Data Engineer;45000;EUR;48289;100
311;2023;SE;FT;Data Engineer;150000;USD;150000;0
312;2023;SE;FT;Data Engineer;130000;USD;130000;0
313;2023;SE;FT;Data Scientist;140000;USD;140000;100
314;2023;SE;FT;Data Scientist;110000;USD;110000;100
315;2023;MI;FT;Data Analyst;90000;USD;90000;0
316;2023;MI;FT;Data Analyst;75000;USD;75000;0
317;2023;MI;FT;Research Scientist;161200;GBP;195895;0
318;2023;MI;FT;Research Scientist;84570;GBP;102772;0
319;2023;SE;FT;Data Engineer;240000;USD;240000;0
320;2023;SE;FT;Data Engineer;183600;USD;183600;0
321;2023;MI;FT;Data Specialist;130000;USD;130000;0
322;2023;MI;FT;Data Specialist;80000;USD;80000;0
323;2023;SE;FT;Data Engineer;250000;USD;250000;0
324;2023;SE;FT;Data Analytics Manager;160000;USD;160000;100
325;2023;SE;FT;Data Analytics Manager;120000;USD;120000;100
326;2023;SE;FT;Machine Learning Engineer;289076;USD;289076;0
327;2023;SE;FT;Machine Learning Engineer;202353;USD;202353;0
328;2023;SE;FT;Data Analyst;155000;USD;155000;0
329;2023;SE;FT;Data Engineer;200000;USD;200000;0
330;2023;SE;FT;Data Scientist;157750;USD;157750;100
331;2023;SE;FT;Data Scientist;104650;USD;104650;100
332;2023;MI;FT;Data Scientist;180000;USD;180000;100
333;2023;MI;FT;Data Scientist;140000;USD;140000;100
334;2023;EX;FT;Data Scientist;200000;USD;200000;0
335;2023;EX;FT;Data Scientist;145000;USD;145000;0
336;2023;MI;FT;Lead Data Analyst;68000;USD;68000;0
337;2023;EN;FT;BI Data Engineer;60000;USD;60000;100
338;2023;MI;FT;Data Engineer;125000;USD;125000;0
339;2023;MI;FT;Data Engineer;90000;USD;90000;0
340;2023;SE;FT;Data Analyst;105000;USD;105000;100
341;2023;SE;FT;Data Analyst;90000;USD;90000;100
342;2023;EN;FT;Research Engineer;155000;USD;155000;0
343;2023;EN;FT;Research Engineer;125000;USD;125000;0
344;2023;SE;FT;Machine Learning Engineer;241000;USD;241000;0
345;2023;SE;FT;Machine Learning Engineer;181000;USD;181000;0
346;2023;SE;FT;Data Scientist;252000;USD;252000;0
347;2023;SE;FT;Data Scientist;154000;USD;154000;0
348;2023;EX;FT;Data Architect;180000;USD;180000;0
349;2023;EX;FT;Data Architect;155000;USD;155000;0
350;2023;SE;FT;Data Scientist;191765;USD;191765;0
351;2023;SE;FT;Data Scientist;134236;USD;134236;0
352;2023;SE;FT;Data Engineer;146000;USD;146000;0
353;2023;SE;FT;Data Engineer;75000;USD;75000;0
354;2023;EN;FT;Data Analyst;64200;USD;64200;100
355;2023;EN;FT;Data Analyst;56100;USD;56100;100
356;2023;SE;FT;Machine Learning Engineer;170000;USD;170000;0
357;2023;SE;FT;Data Analyst;208450;USD;208450;100
358;2023;SE;FT;Data Analyst;170550;USD;170550;100
359;2023;SE;FT;Machine Learning Engineer;125000;USD;125000;0
360;2023;SE;FT;Machine Learning Engineer;100000;USD;100000;0
361;2023;MI;FT;Data Manager;135000;USD;135000;0
362;2023;MI;FT;Data Manager;120000;USD;120000;0
363;2023;SE;FT;Data Scientist;200000;USD;200000;100
364;2023;SE;FT;Data Scientist;170000;USD;170000;100
365;2023;SE;FT;Data Scientist;171250;USD;171250;0
366;2023;SE;FT;Data Scientist;113750;USD;113750;0
367;2023;SE;FT;Data Analyst;153600;USD;153600;0
368;2023;SE;FT;Data Analyst;100500;USD;100500;0
369;2023;SE;FT;Machine Learning Engineer;115000;USD;115000;100
370;2023;SE;FT;Machine Learning Engineer;95000;USD;95000;100
371;2023;MI;FT;Data Analyst;182500;USD;182500;0
372;2023;MI;FT;Data Analyst;121500;USD;121500;0
373;2023;SE;FT;Data Engineer;203100;USD;203100;0
374;2023;SE;FT;Data Engineer;114500;USD;114500;0
375;2023;MI;FT;Data Analyst;60000;GBP;72914;0
376;2023;MI;FT;Data Analyst;45000;GBP;54685;0
377;2023;EN;FT;Data Engineer;92700;USD;92700;100
378;2023;EN;FT;Data Engineer;61800;USD;61800;100
379;2023;SE;FT;Data Engineer;130000;USD;130000;100
380;2023;SE;FT;Data Scientist;258000;USD;258000;0
381;2023;MI;FT;Data Architect;167500;USD;167500;0
382;2023;MI;FT;Data Architect;106500;USD;106500;0
383;2023;MI;FT;Data Engineer;146000;USD;146000;0
384;2023;MI;FT;Data Engineer;75000;USD;75000;0
385;2022;EN;FT;Data Engineer;57000;EUR;59888;100
386;2023;EX;FT;Data Engineer;286000;USD;286000;100
387;2023;EX;FT;Data Engineer;207000;USD;207000;100
388;2023;SE;FT;Data Analyst;80000;USD;80000;100
389;2023;SE;FT;Data Engineer;223250;USD;223250;0
390;2023;SE;FT;Data Engineer;178600;USD;178600;0
391;2023;EX;FT;Director of Data Science;353200;USD;353200;0
392;2023;EX;FT;Director of Data Science;249300;USD;249300;0
393;2023;MI;FT;Machine Learning Scientist;230000;USD;230000;0
394;2023;MI;FT;Machine Learning Scientist;220000;USD;220000;0
395;2023;SE;FT;Data Scientist;297300;USD;297300;100
396;2023;SE;FT;Data Scientist;198200;USD;198200;100
397;2023;MI;FT;Research Scientist;210000;USD;210000;100
398;2023;MI;FT;Research Scientist;151800;USD;151800;100
399;2023;SE;FT;Data Scientist;317070;USD;317070;0
400;2023;SE;FT;Data Scientist;170730;USD;170730;0
401;2023;EN;FT;Business Data Analyst;20000;EUR;21461;0
402;2023;SE;FT;AI Developer;108000;USD;108000;0
403;2023;SE;FT;AI Developer;60000;USD;60000;0
404;2023;MI;FT;MLOps Engineer;134000;USD;134000;100
405;2023;MI;FT;MLOps Engineer;124000;USD;124000;100
406;2023;SE;FT;Data Engineer;171250;USD;171250;0
407;2023;SE;FT;Data Engineer;113750;USD;113750;0
408;2023;SE;FT;Data Scientist;225000;USD;225000;0
409;2023;SE;FT;Data Scientist;175000;USD;175000;0
410;2023;SE;FT;Data Engineer;230000;USD;230000;0
411;2023;SE;FT;Data Engineer;124500;USD;124500;0
412;2023;SE;FT;Data Analyst;175000;USD;175000;0
413;2023;SE;FT;Data Analyst;148700;USD;148700;0
414;2023;SE;FT;Data Analyst;125600;USD;125600;0
415;2023;SE;FT;Research Scientist;200000;USD;200000;0
416;2023;SE;FT;Research Scientist;150000;USD;150000;0
417;2023;EN;FT;Research Engineer;160000;USD;160000;0
418;2023;EN;FT;Research Engineer;120000;USD;120000;0
419;2023;SE;FT;Data Analyst;185000;USD;185000;100
420;2023;SE;FT;Data Analyst;120250;USD;120250;100
421;2023;SE;FT;Data Scientist;183000;USD;183000;100
422;2023;SE;FT;Data Architect;170000;USD;170000;100
423;2023;SE;FT;Data Architect;125000;USD;125000;100
424;2023;SE;FT;Research Scientist;250000;USD;250000;0
425;2023;MI;FT;Machine Learning Engineer;135000;USD;135000;50
426;2023;SE;FT;AI Scientist;1500000;ILS;423834;0
427;2023;SE;FT;Machine Learning Engineer;216000;USD;216000;100
428;2023;SE;FT;Machine Learning Engineer;184000;USD;184000;100
429;2023;SE;FT;Data Engineer;180000;USD;180000;100
430;2023;SE;FT;Data Engineer;165000;USD;165000;100
431;2023;MI;FT;Data Engineer;143865;USD;143865;0
432;2023;MI;FT;Data Engineer;115092;USD;115092;0
433;2023;MI;FT;Machine Learning Engineer;130000;USD;130000;0
434;2023;MI;FT;Machine Learning Engineer;90000;USD;90000;0
435;2023;SE;FT;Data Scientist;173000;USD;173000;100
436;2023;SE;FT;Data Scientist;132000;USD;132000;100
437;2023;SE;FT;Data Analyst;208049;USD;208049;0
438;2023;SE;FT;Data Analyst;128500;USD;128500;0
439;2023;SE;FT;Data Engineer;167500;USD;167500;0
440;2023;SE;FT;Data Engineer;106500;USD;106500;0
441;2023;MI;FT;Data Engineer;149600;USD;149600;0
442;2023;MI;FT;Data Engineer;102000;USD;102000;0
443;2023;EX;FT;Data Scientist;100000;USD;100000;0
444;2023;SE;FT;Data Analyst;190000;USD;190000;100
445;2023;SE;FT;Data Analyst;95000;USD;95000;100
446;2023;SE;FT;Data Analyst;106800;USD;106800;0
447;2023;MI;FT;Data Scientist;90000;EUR;96578;0
448;2023;MI;FT;Data Scientist;75000;EUR;80481;0
449;2023;MI;FT;Data Analyst;128000;USD;128000;0
450;2023;MI;FT;Data Analyst;85000;USD;85000;0
451;2023;MI;FT;Data Engineer;151000;USD;151000;0
452;2023;MI;FT;Data Engineer;140000;USD;140000;0
453;2023;SE;FT;Machine Learning Scientist;220000;USD;220000;0
454;2023;SE;FT;Machine Learning Scientist;170000;USD;170000;0
455;2023;EN;FT;Autonomous Vehicle Technician;7000;USD;7000;0
456;2023;EN;FT;Applied Machine Learning Scientist;40000;EUR;42923;50
457;2023;SE;FT;Data Engineer;145000;USD;145000;100
458;2023;MI;FT;Data Analyst;154000;USD;154000;0
459;2023;MI;FT;Data Analyst;143000;USD;143000;0
460;2023;MI;FT;Data Scientist;65000;GBP;78990;0
461;2023;MI;FT;Data Scientist;42000;GBP;51039;0
462;2023;EN;FT;Data Scientist;190000;USD;190000;0
463;2023;EN;FT;Data Scientist;120000;USD;120000;0
464;2023;MI;FT;Data Scientist;70000;GBP;85066;0
465;2023;MI;FT;Data Scientist;90000;GBP;109371;0
466;2023;MI;FT;Data Scientist;60000;GBP;72914;0
